accession	path	rank	lineage
GCA_003661365.1	path1	superkingdom	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__Korarchaeales;f__QMVU01;g__QMVU01;s__QMVU01 sp003661365
GCA_001940645.1	path1	phylum	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-3;f__LC-3;g__LC-3;s__LC-3 sp001940645
GCA_005191425.1	path1	class	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-B;g__HEL-GB-B;s__HEL-GB-B sp005191425
GCA_004524545.1	path1	order	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__AMARA-1;s__AMARA-1 sp004524545
GCA_004375715.1	path1	family	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__SOKP01 sp004375715
GCA_004524535.1	path1	genus	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SDNM01;s__SDNM01 sp004524535
GCA_004524385.1	path1	species	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SDNM01;s__SDNM01 sp004524385
GCA_003661365.1	path2	superkingdom	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__Korarchaeales;f__QMVU01;g__QMVU01;s__QMVU01 sp003661365
GCA_001940645.1	path2	phylum	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-3;f__LC-3;g__LC-3;s__LC-3 sp001940645
GCA_005191425.1	path2	class	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-B;g__HEL-GB-B;s__HEL-GB-B sp005191425
GCA_004524545.1	path2	order	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__AMARA-1;s__AMARA-1 sp004524545
GCA_004524535.1	path2	family	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SDNM01;s__SDNM01 sp004524535
GCA_004524725.1	path2	genus	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__SOKP01 sp004524725
GCA_004375715.1	path2	species	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__SOKP01 sp004375715
GCA_003661365.1	path3	superkingdom	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__Korarchaeales;f__QMVU01;g__QMVU01;s__QMVU01 sp003661365
GCA_003021335.1	path3	phylum	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halovenus;s__Halovenus sp003021335
GCA_002011165.1	path3	class	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__JdFR-21;f__JdFR-21;g__JdFR-21;s__JdFR-21 sp002011165
GCA_002010305.1	path3	order	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__JdFR-42;g__JdFR-42;s__JdFR-42 sp002010305
GCA_004347825.1	path3	family	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WYZ-LMO2;s__WYZ-LMO2 sp004347825
GCF_000008665.1	path3	genus	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;s__Archaeoglobus fulgidus
GCA_002507545.1	path3	species	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;s__Archaeoglobus sp002507545
GCA_003661365.1	path4	superkingdom	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__Korarchaeales;f__QMVU01;g__QMVU01;s__QMVU01 sp003661365
GCA_003021335.1	path4	phylum	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halovenus;s__Halovenus sp003021335
GCA_002011165.1	path4	class	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__JdFR-21;f__JdFR-21;g__JdFR-21;s__JdFR-21 sp002011165
GCA_002010305.1	path4	order	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__JdFR-42;g__JdFR-42;s__JdFR-42 sp002010305
GCA_004347825.1	path4	family	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WYZ-LMO2;s__WYZ-LMO2 sp004347825
GCA_002011215.1	path4	genus	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus_A;s__Archaeoglobus_A sp002011215
GCA_002011235.1	path4	species	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus_A;s__Archaeoglobus_A sp002011235
GCA_003661365.1	path5	superkingdom	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__Korarchaeales;f__QMVU01;g__QMVU01;s__QMVU01 sp003661365
GCA_003021335.1	path5	phylum	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halovenus;s__Halovenus sp003021335
GCA_002011165.1	path5	class	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__JdFR-21;f__JdFR-21;g__JdFR-21;s__JdFR-21 sp002011165
GCA_002010305.1	path5	order	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__JdFR-42;g__JdFR-42;s__JdFR-42 sp002010305
GCA_004347825.1	path5	family	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WYZ-LMO2;s__WYZ-LMO2 sp004347825
GCA_003663025.1	path5	genus	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus_B;s__Archaeoglobus_B sp003663025
GCF_000025285.1	path5	species	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus_B;s__Archaeoglobus_B profundus
GCA_003661365.1	path6	superkingdom	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__Korarchaeales;f__QMVU01;g__QMVU01;s__QMVU01 sp003661365
GCA_003021335.1	path6	phylum	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halovenus;s__Halovenus sp003021335
GCA_002011165.1	path6	class	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__JdFR-21;f__JdFR-21;g__JdFR-21;s__JdFR-21 sp002011165
GCA_002010305.1	path6	order	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__JdFR-42;g__JdFR-42;s__JdFR-42 sp002010305
GCA_004347825.1	path6	family	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WYZ-LMO2;s__WYZ-LMO2 sp004347825
GCA_003663055.1	path6	genus	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus_C;s__Archaeoglobus_C sp003663055
GCA_003978865.1	path6	species	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus_C;s__Archaeoglobus_C sp003978865
GCA_003661365.1	path7	superkingdom	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__Korarchaeales;f__QMVU01;g__QMVU01;s__QMVU01 sp003661365
GCA_003021335.1	path7	phylum	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halovenus;s__Halovenus sp003021335
GCA_002011165.1	path7	class	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__JdFR-21;f__JdFR-21;g__JdFR-21;s__JdFR-21 sp002011165
GCA_002010305.1	path7	order	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__JdFR-42;g__JdFR-42;s__JdFR-42 sp002010305
GCA_004347825.1	path7	family	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WYZ-LMO2;s__WYZ-LMO2 sp004347825
GCF_001006045.1	path7	genus	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus;s__Geoglobus ahangari
GCA_002494725.1	path7	species	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus;s__Geoglobus sp002494725
GCA_003661365.1	path8	superkingdom	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__Korarchaeales;f__QMVU01;g__QMVU01;s__QMVU01 sp003661365
GCA_003021335.1	path8	phylum	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halovenus;s__Halovenus sp003021335
GCA_002011165.1	path8	class	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__JdFR-21;f__JdFR-21;g__JdFR-21;s__JdFR-21 sp002011165
GCA_002010305.1	path8	order	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__JdFR-42;g__JdFR-42;s__JdFR-42 sp002010305
GCF_001006045.1	path8	family	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus;s__Geoglobus ahangari
GCA_004347825.1	path8	genus	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WYZ-LMO2;s__WYZ-LMO2 sp004347825
GCA_004347865.1	path8	species	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WYZ-LMO2;s__WYZ-LMO2 sp004347865
GCA_003661365.1	path9	superkingdom	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__Korarchaeales;f__QMVU01;g__QMVU01;s__QMVU01 sp003661365
GCA_004347825.1	path9	phylum	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WYZ-LMO2;s__WYZ-LMO2 sp004347825
GCA_002010075.1	path9	class	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales_A;f__Methermicoccaceae;g__JdFR-19;s__JdFR-19 sp002010075
GCF_900114835.1	path9	order	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus profundi
GCA_004212095.1	path9	family	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__EX4572-44;g__RPGO01;s__RPGO01 sp004212095
