accession,display_name,tax_id,parent_tax_id,sci_name,strain,title,submission_date,seq_length,assembly_level
GCF_004124255.1,ASM412425v1,1302376,286,Candidatus Pseudomonas adelgestsugas,,Candidatus Pseudomonas adelgestsugas,2019-01-31,1835598,Complete Genome
GCF_900103345.1,IMG-taxon 2636416017 annotated assembly,47878,136843,Pseudomonas azotoformans,LMG 21611,Pseudomonas azotoformans,2016-10-20,6727386,Chromosome
GCF_900624915.1,DSM_18862T,47878,136843,Pseudomonas azotoformans,,Pseudomonas azotoformans,2019-01-29,6690507,Contig
GCF_006547025.1,ASM654702v1,47878,136843,Pseudomonas azotoformans,P45A,Pseudomonas azotoformans,2019-07-03,6884339,Complete Genome
GCF_004102685.1,ASM410268v1,47878,136843,Pseudomonas azotoformans,SC 14,Pseudomonas azotoformans,2019-01-22,6436246,Scaffold
GCF_003701995.1,ASM370199v1,47878,136843,Pseudomonas azotoformans,ICMP 14360,Pseudomonas azotoformans,2018-10-30,6038119,Scaffold
GCF_002091515.1,ASM209151v1,1215094,47878,Pseudomonas azotoformans NBRC 12693,NBRC 12693,Pseudomonas azotoformans NBRC 12693,2017-04-03,6683742,Contig
GCF_002007785.1,ASM200778v1,47878,136843,Pseudomonas azotoformans,F77,Pseudomonas azotoformans,2017-02-28,6581295,Complete Genome
GCF_001983205.1,ASM198320v1,47878,136843,Pseudomonas azotoformans,DSM 18862,Pseudomonas azotoformans,2017-02-01,7168748,Contig
GCF_001870415.1,ASM187041v1,47878,136843,Pseudomonas azotoformans,LMG 21611,Pseudomonas azotoformans,2016-11-07,6719060,Contig
GCF_001579805.1,ASM157980v1,47878,136843,Pseudomonas azotoformans,S4,Pseudomonas azotoformans,2016-03-03,6859618,Complete Genome
GCF_900105815.1,IMG-taxon 2639762518 annotated assembly,129817,136843,Pseudomonas brenneri,BS2771,Pseudomonas brenneri,2016-10-21,6032706,Chromosome
GCF_015643585.1,ASM1564358v1,129817,136843,Pseudomonas brenneri,Ps-23,Pseudomonas brenneri,2020-11-21,6351950,Scaffold
GCF_014646715.1,ASM1464671v1,129817,136843,Pseudomonas brenneri,JCM 13307,Pseudomonas brenneri,2020-09-12,5986233,Contig
GCF_008386555.1,ASM838655v1,129817,136843,Pseudomonas brenneri,CCUG 51514,Pseudomonas brenneri,2019-09-15,5993024,Contig
GCF_007858285.1,ASM785828v1,129817,136843,Pseudomonas brenneri,DSM 15294,Pseudomonas brenneri,2019-08-06,5987712,Contig
GCF_004363635.1,ASM436363v1,129817,136843,Pseudomonas brenneri,BIGb0273,Pseudomonas brenneri,2019-03-22,5930819,Scaffold
GCF_900104915.1,IMG-taxon 2636416193 annotated assembly,651740,136843,Pseudomonas cedrina,BS2981,Pseudomonas cedrina,2016-10-21,6539015,Chromosome
GCF_002980025.1,ASM298002v1,651740,136843,Pseudomonas cedrina,MYb184,Pseudomonas cedrina,2018-03-07,6108438,Scaffold
GCF_900625035.1,DSM_17516T,76762,651740,Pseudomonas cedrina subsp. cedrina,,Pseudomonas cedrina subsp. cedrina,2019-01-29,6494424,Contig
GCF_001983175.1,ASM198317v1,76762,651740,Pseudomonas cedrina subsp. cedrina,DSM 17516,Pseudomonas cedrina subsp. cedrina,2017-02-01,6513568,Contig
GCF_000737225.1,UB0390_1.0_131105,200452,136843,Pseudomonas congelans,UB0390,Pseudomonas congelans,2014-08-01,5264811,Contig
GCF_900103225.1,IMG-taxon 2663762773 annotated assembly,200452,136843,Pseudomonas congelans,DSM 14939,Pseudomonas congelans,2016-10-21,5737059,Scaffold
GCF_014450895.1,ASM1445089v1,200452,136843,Pseudomonas congelans,H346-M,Pseudomonas congelans,2020-09-02,5687897,Contig
GCF_002323035.1,ASM232303v1,200452,136843,Pseudomonas congelans,ME812.2b,Pseudomonas congelans,2017-09-20,5636659,Contig
GCF_002318885.1,ASM231888v1,200452,136843,Pseudomonas congelans,DM2.1.12.02A,Pseudomonas congelans,2017-09-20,5914114,Contig
GCF_002318745.1,ASM231874v1,200452,136843,Pseudomonas congelans,NL.P123,Pseudomonas congelans,2017-09-20,5855665,Contig
GCF_002318645.1,ASM231864v1,200452,136843,Pseudomonas congelans,RMX815.1a,Pseudomonas congelans,2017-09-20,5565846,Contig
GCF_002318635.1,ASM231863v1,200452,136843,Pseudomonas congelans,LP205a,Pseudomonas congelans,2017-09-20,5698429,Contig
GCF_001400775.1,PcoICMP19117,200452,136843,Pseudomonas congelans,ICMP19117,Pseudomonas congelans,2015-10-20,5630650,Scaffold
GCF_001708425.1,ASM170842v1,47879,136843,Pseudomonas corrugata,RM1-1-4,Pseudomonas corrugata,2016-08-23,6124363,Complete Genome
GCF_900106085.1,IMG-taxon 2639763195 annotated assembly,47879,136843,Pseudomonas corrugata,BS3649,Pseudomonas corrugata,2016-10-21,6150838,Chromosome
GCF_016307495.1,ASM1630749v1,47879,136843,Pseudomonas corrugata,Sera_3Q,Pseudomonas corrugata,2020-12-22,6012361,Scaffold
GCF_016307475.1,ASM1630747v1,47879,136843,Pseudomonas corrugata,Sera_3A,Pseudomonas corrugata,2020-12-22,6006322,Scaffold
